test	duration_ms	status
gateway::tests::dispatcher_browser_request_validates_and_reports_unavailable_contract	803	pass
gateway::tests::dispatcher_browser_request_routes_through_node_proxy_runtime	819	pass
gateway::tests::dispatcher_browser_request_enforces_browser_proxy_command_allowlist	749	pass
gateway::tests::dispatcher_browser_open_routes_through_browser_proxy_runtime	805	pass
gateway::tests::dispatcher_canvas_present_routes_through_node_runtime	816	pass
gateway::tests::dispatcher_canvas_present_rejects_disallowed_command	789	pass
gateway::tests::dispatcher_device_pair_and_token_methods_follow_parity_contract	786	pass
gateway::tests::dispatcher_node_pairing_methods_follow_parity_contract	783	pass
gateway::tests::dispatcher_node_invoke_and_event_methods_follow_parity_contract	794	pass
gateway::tests::dispatcher_node_invoke_supports_camera_screen_location_and_system_commands_when_declared	778	pass
gateway::tests::dispatcher_local_node_host_runtime_completes_node_invoke_commands_in_process	875	pass
gateway::tests::dispatcher_local_node_host_runtime_platform_override_routes_by_node_platform	842	pass
gateway::tests::dispatcher_local_node_host_runtime_command_override_map_routes_by_command	876	pass
gateway::tests::dispatcher_local_node_host_runtime_command_override_can_run_without_global_command	852	pass
